url,question,reference_answer
https://trustarts.org/pct_home/support/planned-giving/for-professional-advisors,Who is Pittsburgh named after?,William Pitt
https://trustarts.org/pct_home/support/planned-giving/for-professional-advisors,What famous machine learning venue had its first conference in Pittsburgh in 1980?,ICML
https://trustarts.org/pct_home/support/planned-giving/for-professional-advisors,What musical artist is performing at PPG Arena on October 13?,Billie Eilish
https://trustarts.org/pct_home/support/planned-giving/for-professional-advisors,What is the name of the largest cultural arts organization in Pittsburgh?,The Pittsburgh Cultural Trust
https://trustarts.org/pct_home/support/planned-giving/for-professional-advisors,What is the name of the street where the Pittsburgh Cultural Trust is located?,Liberty Avenue
https://trustarts.org/pct_home/support/planned-giving/for-professional-advisors,What is the name of the university that has a campus in Pittsburgh and is known for its computer science program?,Carnegie Mellon University
https://trustarts.org/pct_home/support/planned-giving/for-professional-advisors,What is the name of the gift planning tool that allows donors to calculate deductions and tax savings for multiple gift types?,Gift Illustrator
https://trustarts.org/pct_home/support/planned-giving/for-professional-advisors,What is the name of the organization that offers a partnership with professional advisors to help donors plan charitable gifts?,The Pittsburgh Cultural Trust
https://www.visitpittsburgh.com/blog/guide-to-football-in-pittsburgh,What is the name of the football stadium where the Steelers play?,Acrisure Stadium
https://www.visitpittsburgh.com/blog/guide-to-football-in-pittsburgh,What is the name of the museum dedicated to Roberto Clemente?,The Clemente Museum
https://www.visitpittsburgh.com/blog/guide-to-football-in-pittsburgh,What is the name of the street where you can find Steelers gear?,Penn Avenue
https://www.visitpittsburgh.com/blog/guide-to-football-in-pittsburgh,What is the name of the brewery that offers behind-the-scenes tours?,Pittsburgh Brewing Co.
https://www.visitpittsburgh.com/blog/guide-to-football-in-pittsburgh,"What is the name of the university that is home to the School of Computer Science, where the first AI-enhanced brewery was developed?",Carnegie Mellon University
https://pjcbignosh.com,What is the name of the Jewish food festival presented by the Pittsburgh Jewish Chronicle?,Big Nosh
https://pjcbignosh.com,Where is the Big Nosh Jewish food festival taking place?,Congregation Beth Shalom
https://pjcbignosh.com,What is the name of the hotel partner for the Big Nosh festival?,The Maverick Hotel by Kasa
https://pjcbignosh.com,Who is the author of the quote 'To know a community is to know its food'?,Gil Marks
https://pjcbignosh.com,What is the name of the organization that is providing seed funding for the Big Nosh festival?,Steel Tree Fund of the Jewish Federation of Greater Pittsburgh
https://www.steelers.com/legal/accessibility,"What is the name of the football team based in Pittsburgh, Pennsylvania?",The Pittsburgh Steelers
https://www.steelers.com/legal/accessibility,"What is the name of the university that is home to the School of Computer Science, which is known for its artificial intelligence and machine learning programs?",Carnegie Mellon University
https://www.steelers.com/legal/accessibility,What is the name of the stadium where the Pittsburgh Steelers play their home games?,Acrisure Stadium
https://www.steelers.com/legal/accessibility,What is the name of the city in Ireland that the Pittsburgh Steelers have a presence in?,Dublin
https://www.steelers.com/legal/accessibility,What is the name of the accessibility guidelines that the Pittsburgh Steelers website is designed to follow?,Web Content Accessibility Guidelines 2.1 at Levels A and AA
https://www.cmu.edu/visit/welcome-center.html,What city is Carnegie Mellon University located in?,Pittsburgh
https://www.cmu.edu/visit/welcome-center.html,What is the address of Carnegie Mellon University?,5000 Forbes Avenue
https://www.cmu.edu/visit/welcome-center.html,What is the name of the venue where Carnegie Mellon University is located?,PPG Arena
https://www.cmu.edu/visit/welcome-center.html,What is the name of the university's main campus?,Carnegie Mellon University
https://www.cmu.edu/visit/welcome-center.html,What is the city of Pittsburgh located in?,Pennsylvania
https://bananasplitfest.com/events/princess-pageant,What is Carnegie Mellon University known for?,"Carnegie Mellon University is known for its strong programs in computer science, robotics, and engineering, as well as its prestigious drama school, the School of Drama."
https://bananasplitfest.com/events/princess-pageant,What is the nickname of the Pittsburgh Steelers football team?,The Steel Curtain
https://bananasplitfest.com/events/princess-pageant,What is the name of the famous bridge in Pittsburgh that connects the city's North Shore to the Strip District?,The Andy Warhol Bridge
https://bananasplitfest.com/events/princess-pageant,What is the name of the prestigious robotics competition held annually at Carnegie Mellon University?,The Robotics Competition
https://bananasplitfest.com/events/princess-pageant,What is the name of the famous street in Pittsburgh that is known for its vibrant nightlife and entertainment options?,South Side
https://pittsburgh.events/shows,What is the name of the university that Andrew Carnegie founded?,Carnegie Mellon University
https://pittsburgh.events/shows,What is the name of the famous music hall in Pittsburgh where Sheng Wang is performing?,Carnegie of Homestead Music Hall
https://pittsburgh.events/shows,What is the name of the famous Pittsburgh venue that is hosting the Pittsburgh Symphony Orchestra - Mozart and Prokofiev’s Fifth performance?,Heinz Hall
https://pittsburgh.events/shows,What is the name of the famous Pittsburgh museum that is a Gilded Age site?,The Carnegie Museum of Natural History
https://pittsburgh.events/shows,What is the name of the famous Pittsburgh baseball stadium?,PNC Park
https://trustarts.org/pct_home/engagement/lullaby-project,What is the Pittsburgh Cultural Trust's Lullaby Project?,A project that pairs new and expecting parents and caregivers with professional artists to write and sing personal lullabies for their babies.
https://trustarts.org/pct_home/engagement/lullaby-project,What is the name of the church where Sean Baker serves as the Music Director?,Calvary Baptist Church
https://trustarts.org/pct_home/engagement/lullaby-project,What is the name of the program that the Pittsburgh Cultural Trust is a part of in the Lullaby Project?,Carnegie Hall’s Weill Music Institute
https://trustarts.org/pct_home/engagement/lullaby-project,Who are the Lullaby Teaching Artists?,"Sean Baker, Lynn Speakman, and David Bowens"
https://trustarts.org/pct_home/engagement/lullaby-project,What is the name of the album released by the Pittsburgh Cultural Trust's Lullaby Project?,The Lullaby Project album
https://www.pghcitypaper.com/category/drink-1380413,What is the name of the Pittsburgh neighborhood where East End Brewing’s 90-beer neighborhood run took place?,the Strip
