url,question,reference_answer
https://3riversstudios.com,Who is Pittsburgh named after?,William Pitt
https://3riversstudios.com,What famous machine learning venue had its first conference in Pittsburgh in 1980?,ICML
https://3riversstudios.com,What musical artist is performing at PPG Arena on October 13?,Billie Eilish
https://3riversstudios.com,What is the name of the city where Carnegie Mellon University is located?,Pittsburgh
https://3riversstudios.com,What is the name of the university where the Robotics Institute is located?,Carnegie Mellon University
https://3riversstudios.com,What is the name of the famous street in Pittsburgh where the university is located?,Fifth Avenue
https://3riversstudios.com,What is the name of the university's mascot?,The Tartans
https://3riversstudios.com,What is the name of the university's football team?,The Carnegie Mellon Tartans
https://60minutemissions.com/book,What is the name of the largest university in Pittsburgh?,University of Pittsburgh
https://60minutemissions.com/book,What is the name of the famous art museum located on the campus of Carnegie Mellon University?,Carnegie Museum of Art
https://60minutemissions.com/book,What is the name of the renowned robotics research center located on the campus of Carnegie Mellon University?,Robotics Institute
https://60minutemissions.com/book,"What is the name of the university that is known for its computer science and robotics programs, and is located in Pittsburgh?",Carnegie Mellon University
https://60minutemissions.com/book,What is the name of the city in which Carnegie Mellon University is located?,Pittsburgh
https://abcnews.go.com/wnt/video/superhero-window-washers-19325809,What is the name of the theme of Spring Carnival 2024?,Arcade
https://abcnews.go.com/wnt/video/superhero-window-washers-19325809,What is the name of the theme of Spring Carnival 2023?,Scotty in Wonderland
https://abcnews.go.com/wnt/video/superhero-window-washers-19325809,What is the name of the theme of Spring Carnival 2022?,Ad Astra
https://abcnews.go.com/wnt/video/superhero-window-washers-19325809,What is the name of the theme of Spring Carnival 2020?,Adventure Awaits
https://abcnews.go.com/wnt/video/superhero-window-washers-19325809,What is the name of the theme of Spring Carnival 2019?,Planet Earth
https://acfree.librarycalendar.com/event/pittsburgh-classic-movie-club-presents-film-1-2579,Where is the Pittsburgh Steelers' home stadium located?,Acrisure Stadium
https://acfree.librarycalendar.com/event/pittsburgh-classic-movie-club-presents-film-1-2579,What is the name of the football conference that the Pittsburgh Steelers are part of?,AFC North
https://acfree.librarycalendar.com/event/pittsburgh-classic-movie-club-presents-film-1-2579,What is the name of the university that is home to the Carnegie Mellon University School of Computer Science?,Carnegie Mellon University
https://acfree.librarycalendar.com/event/pittsburgh-classic-movie-club-presents-film-1-2579,What is the name of the city in which the Pittsburgh Steelers are based?,Pittsburgh
https://acfree.librarycalendar.com/event/pittsburgh-classic-movie-club-presents-film-1-2579,What is the name of the museum located at Carnegie Mellon University that is dedicated to the history of the university?,Museum
https://acrisurestadium.com,What is the name of the holiday market in Market Square?,Peoples Gas Holiday Market
https://acrisurestadium.com,What is the name of the annual celebration of all things pickled?,Picklesburgh
https://acrisurestadium.com,What is the name of the public art initiative in Downtown Pittsburgh?,Downtown Activation + Public Art
https://acrisurestadium.com,What is the name of the annual holiday celebration that marks the start of the holiday season in Pittsburgh?,Highmark Light Up Night
https://acrisurestadium.com,What is the name of the free outdoor public yoga series in Market Square?,Yoga in the Square
https://acrisurestadium.com/guest-services/clear-bag-policy,What is the name of the task force that identified Inclusionary Zoning as a tool to address the shortage of affordable units in Pittsburgh?,Affordable Housing Task Force
https://acrisurestadium.com/guest-services/clear-bag-policy,What percentage of units in a project that meets the size threshold for Inclusionary Zoning must be priced affordably?,10%
https://acrisurestadium.com/guest-services/clear-bag-policy,What neighborhoods in Pittsburgh are currently subject to the Inclusionary Zoning ordinance?,"Lawrenceville, Bloomfield, Polish Hill, and Oakland"
https://acrisurestadium.com/guest-services/clear-bag-policy,What is the name of the department that oversees the Inclusionary Zoning ordinance in Pittsburgh?,City Planning
https://acrisurestadium.com/guest-services/clear-bag-policy,What is the name of the document that outlines the City of Pittsburgh's commitment to affordable housing?,Housing Needs Assessment
https://acrisurestadium.com/guest-services/disability-services,What is the name of the online community platform for Carnegie Mellon University alumni?,The online Alumni Community
https://acrisurestadium.com/guest-services/disability-services,What is the name of the email service provided to Carnegie Mellon University alumni?,CMU Alumni Email
https://acrisurestadium.com/guest-services/disability-services,What is the name of the office that handles diploma authentication and replacement diplomas for Carnegie Mellon University?,The Hub
https://acrisurestadium.com/guest-services/disability-services,What is the name of the program that offers a scholarship to Carnegie Mellon University alumni for online graduate certificate programs?,Online Graduate Certificate Scholarship
https://acrisurestadium.com/guest-services/disability-services,What is the name of the career coaching service provided to Carnegie Mellon University alumni?,Career Coaching
https://acrisurestadium.com/guest-services/security-guidelines,What is Carnegie Mellon University known for?,"Carnegie Mellon University is known for its strong programs in computer science, robotics, and artificial intelligence."
https://acrisurestadium.com/guest-services/security-guidelines,What is the name of the university's main campus?,"The university's main campus is located in Pittsburgh, Pennsylvania."
https://acrisurestadium.com/guest-services/security-guidelines,What is the name of the university's computer science program?,The university's computer science program is highly regarded and has produced many successful alumni.
https://acrisurestadium.com/guest-services/security-guidelines,What is the name of the university's robotics program?,The university's robotics program is highly regarded and has produced many successful alumni.
https://acrisurestadium.com/private-events,What is the name of the famous robotics research institute at Carnegie Mellon University?,The Robotics Institute
https://acrisurestadium.com/private-events,What is the name of the annual arts festival held in Pittsburgh's Cultural District?,The Dollar Bank Three Rivers Arts Festival
https://acrisurestadium.com/private-events,What is the name of the famous computer science building on the Carnegie Mellon campus?,Wean Hall
https://acrisurestadium.com/stadium/employment,What is Carnegie Mellon University's main campus located in?,"Pittsburgh, Pennsylvania"
https://acrisurestadium.com/stadium/employment,What is the name of Carnegie Mellon University's football team?,The Tartans
https://acrisurestadium.com/stadium/employment,What is the name of the famous street in Pittsburgh that Carnegie Mellon University is located on?,Cathedral of Learning
https://acrisurestadium.com/stadium/employment,What is the name of the university's athletic conference?,University Athletic Association
https://acrisurestadium.com/stadium/employment,What is the name of Carnegie Mellon University's library?,Hunt Library
https://acrisurestadium.com/stadium/parking-directions#directions,What is the name of the musical studies program at Pittsburgh Opera?,The Pittsburgh Opera Resident Artist Training Program
https://acrisurestadium.com/stadium/parking-directions#directions,Who is the Director of Musical Studies and Chorus Master at Pittsburgh Opera?,Mark Trawka
https://acrisurestadium.com/stadium/parking-directions#directions,What is the name of the program at Carnegie Mellon University that focuses on artificial intelligence and machine learning?,The Machine Learning Department
https://acrisurestadium.com/stadium/parking-directions#directions,What is the name of the prestigious music festival held annually in Pittsburgh?,The Three Rivers Arts Festival
https://acrisurestadium.com/stadium/parking-directions#directions,Who is the Music Director of Pittsburgh Opera?,Antony Walker
https://acrisurestadium.com/stadium/seating-charts,What is the name of the university that is located in Pittsburgh and is known for its computer science program?,Carnegie Mellon University
https://acrisurestadium.com/stadium/seating-charts,What is the name of the famous robotics lab at Carnegie Mellon University?,The Robotics Institute
https://acrisurestadium.com/stadium/seating-charts,What is the name of the sports team that represents Carnegie Mellon University?,The Carnegie Mellon Tartans
https://acrisurestadium.com/stadium/seating-charts,What is the name of the city in Pennsylvania where Carnegie Mellon University is located?,Pittsburgh
https://acrisurestadium.com/stadium/seating-charts,What is the name of the famous street in Pittsburgh where Carnegie Mellon University is located?,Fifth Avenue
https://acrisurestadium.com/stadium/tours,What is the name of the event space in Carnegie Science Center that provides stunning views of the Point and Pittsburgh’s three rivers?,PointView Hall
https://acrisurestadium.com/stadium/tours,"What is the name of the museum where guests can take photographs in all event spaces, but museum gallery photography varies?",The Carnegie Museums of Pittsburgh
https://acrisurestadium.com/stadium/tours,What is the name of the exclusive caterer that Carnegie Museums partner with?,Culinaire
https://acrisurestadium.com/stadium/tours,"What is the name of the event space at Carnegie Science Center that is a great bonus for events, as it includes catering and does not need bartenders or other staff?",Point View Hall
https://acrisurestadium.com/stadium/tours,What is the name of the museum that is an underused resource in Pittsburgh for weddings?,The Carnegie Museum
https://adclick.g.doubleclick.net/pcs/click?xai=akaojssdl99u5al9kr8rpozj0qryqkmfssy8ahimsjqpbkpsrgb-czp0umdvdtt3c2lff14zofkxhjfgx9f-sgjj25rtozg2apidmasn485htbfusgtdov_1obkfuksljirajr5jwbmizshcj1bqxe_hqu6oyqwob1j4qzy2mxspy1cw8ngknfjukk4oiezcbqhy7_7lebilag_apvri6zsyhfv8n8mnvlg5qjr21r_wffjus8jdb92bdfrxi5nuawvbuojnnlp263glpgmzga6tw7ofb8loy_8flnkbblgn_zhymboh2_a3jaytn-vbqglk9ekosxyxuzfxzhoo71e7akoe8cx72-s7ezxjvei___aigseecydweg&sai=amfl-ytgafagsayrmsstkv15frzf7km4cm-v3-vzqmqv4fwign70-kfuagmjgaba5ltktqiev1z6vy-xkvwdwj1p5yzmqzxszcqzpry9bwx7po_xia8of5stv55tvkg&sig=cg0arkjszihuiayaispzeae&fbs_aeid=%5bgw_fbsaeid%5d&urlfix=1&adurl=https://posting.pghcitypaper.com/pittsburgh/pittsburghcitypapersmembershipcampaign/page,What is the name of the exclusive pickle-flavored beer that Iron City Beer is debuting at Picklesburgh?,IC Pickle
https://adclick.g.doubleclick.net/pcs/click?xai=akaojssdl99u5al9kr8rpozj0qryqkmfssy8ahimsjqpbkpsrgb-czp0umdvdtt3c2lff14zofkxhjfgx9f-sgjj25rtozg2apidmasn485htbfusgtdov_1obkfuksljirajr5jwbmizshcj1bqxe_hqu6oyqwob1j4qzy2mxspy1cw8ngknfjukk4oiezcbqhy7_7lebilag_apvri6zsyhfv8n8mnvlg5qjr21r_wffjus8jdb92bdfrxi5nuawvbuojnnlp263glpgmzga6tw7ofb8loy_8flnkbblgn_zhymboh2_a3jaytn-vbqglk9ekosxyxuzfxzhoo71e7akoe8cx72-s7ezxjvei___aigseecydweg&sai=amfl-ytgafagsayrmsstkv15frzf7km4cm-v3-vzqmqv4fwign70-kfuagmjgaba5ltktqiev1z6vy-xkvwdwj1p5yzmqzxszcqzpry9bwx7po_xia8of5stv55tvkg&sig=cg0arkjszihuiayaispzeae&fbs_aeid=%5bgw_fbsaeid%5d&urlfix=1&adurl=https://posting.pghcitypaper.com/pittsburgh/pittsburghcitypapersmembershipcampaign/page,What is the name of the new sandwich that Jenny Lee is launching at Picklesburgh?,grilled cheese-and-gherkin sandwich
https://adclick.g.doubleclick.net/pcs/click?xai=akaojssdl99u5al9kr8rpozj0qryqkmfssy8ahimsjqpbkpsrgb-czp0umdvdtt3c2lff14zofkxhjfgx9f-sgjj25rtozg2apidmasn485htbfusgtdov_1obkfuksljirajr5jwbmizshcj1bqxe_hqu6oyqwob1j4qzy2mxspy1cw8ngknfjukk4oiezcbqhy7_7lebilag_apvri6zsyhfv8n8mnvlg5qjr21r_wffjus8jdb92bdfrxi5nuawvbuojnnlp263glpgmzga6tw7ofb8loy_8flnkbblgn_zhymboh2_a3jaytn-vbqglk9ekosxyxuzfxzhoo71e7akoe8cx72-s7ezxjvei___aigseecydweg&sai=amfl-ytgafagsayrmsstkv15frzf7km4cm-v3-vzqmqv4fwign70-kfuagmjgaba5ltktqiev1z6vy-xkvwdwj1p5yzmqzxszcqzpry9bwx7po_xia8of5stv55tvkg&sig=cg0arkjszihuiayaispzeae&fbs_aeid=%5bgw_fbsaeid%5d&urlfix=1&adurl=https://posting.pghcitypaper.com/pittsburgh/pittsburghcitypapersmembershipcampaign/page,What is the name of the new creation that Mancini's Bakery is introducing at Picklesburgh?,PGH Roll 2.0
https://adclick.g.doubleclick.net/pcs/click?xai=akaojssdl99u5al9kr8rpozj0qryqkmfssy8ahimsjqpbkpsrgb-czp0umdvdtt3c2lff14zofkxhjfgx9f-sgjj25rtozg2apidmasn485htbfusgtdov_1obkfuksljirajr5jwbmizshcj1bqxe_hqu6oyqwob1j4qzy2mxspy1cw8ngknfjukk4oiezcbqhy7_7lebilag_apvri6zsyhfv8n8mnvlg5qjr21r_wffjus8jdb92bdfrxi5nuawvbuojnnlp263glpgmzga6tw7ofb8loy_8flnkbblgn_zhymboh2_a3jaytn-vbqglk9ekosxyxuzfxzhoo71e7akoe8cx72-s7ezxjvei___aigseecydweg&sai=amfl-ytgafagsayrmsstkv15frzf7km4cm-v3-vzqmqv4fwign70-kfuagmjgaba5ltktqiev1z6vy-xkvwdwj1p5yzmqzxszcqzpry9bwx7po_xia8of5stv55tvkg&sig=cg0arkjszihuiayaispzeae&fbs_aeid=%5bgw_fbsaeid%5d&urlfix=1&adurl=https://posting.pghcitypaper.com/pittsburgh/pittsburghcitypapersmembershipcampaign/page,What is the name of the festival that has been voted #1 Food Festival in America for three consecutive years?,Picklesburgh
https://adclick.g.doubleclick.net/pcs/click?xai=akaojssdl99u5al9kr8rpozj0qryqkmfssy8ahimsjqpbkpsrgb-czp0umdvdtt3c2lff14zofkxhjfgx9f-sgjj25rtozg2apidmasn485htbfusgtdov_1obkfuksljirajr5jwbmizshcj1bqxe_hqu6oyqwob1j4qzy2mxspy1cw8ngknfjukk4oiezcbqhy7_7lebilag_apvri6zsyhfv8n8mnvlg5qjr21r_wffjus8jdb92bdfrxi5nuawvbuojnnlp263glpgmzga6tw7ofb8loy_8flnkbblgn_zhymboh2_a3jaytn-vbqglk9ekosxyxuzfxzhoo71e7akoe8cx72-s7ezxjvei___aigseecydweg&sai=amfl-ytgafagsayrmsstkv15frzf7km4cm-v3-vzqmqv4fwign70-kfuagmjgaba5ltktqiev1z6vy-xkvwdwj1p5yzmqzxszcqzpry9bwx7po_xia8of5stv55tvkg&sig=cg0arkjszihuiayaispzeae&fbs_aeid=%5bgw_fbsaeid%5d&urlfix=1&adurl=https://posting.pghcitypaper.com/pittsburgh/pittsburghcitypapersmembershipcampaign/page,What is the name of the area at Picklesburgh where kids can participate in activities and create pickle-shaped jewelry and puppets?,Li'l Gherkins Kidsplay
https://adclick.g.doubleclick.net/pcs/click?xai=akaojsungov4jd_ifriracw-vqgexm8wbgk3qh3z4rjpden6uzja_2yetxnzgphbqke-s8gmztlc0p76hj2ezr9hbwh-cbljwrfpof_wab1mbcv3slcgygbnaaz6yu4inrlgm2t-f2fdk3vy-a-duqihzenfwhv5kfeowdebl-8skgydh5wqk0tmwxvpbhhv_vrfu_x6u-tagzfhvls9eshyjc1m8sdgk9cywvfmsjgq9jgddxzp4l35yrz7voimqfbv_wmqg-5bpc-ai43bew86wynu9ytpy3rrd5k_pxxcwpqicofjqh6y3bp48u3rrer1pk_-ynybg4qbxb-nfiwwm1mcq59v1bu2pw5yjwaxhcjcbz8ncxscc8muaj44f7uusyw&sai=amfl-yrl7t8vjj3vvunpro3rcr8kigj0chipubz4qcxgc8rglzkfen027zqz8hzfpsrfdztvhqyg0gaewspykss9rcznjzf2ysxek0ickjsdpxwmd4qb7r-rznsqn7vi&sig=cg0arkjszbodax5ahpwceae&fbs_aeid=%5bgw_fbsaeid%5d&urlfix=1&adurl=https://www.massmutual.com/nhl%3futm_source%3dnhl%26utm_medium%3ddisplay%26utm_campaign%3db_all_nhl_grow_eng_dynduo%26utm_content%3dima_ddhpto_click_nhl%26utm_term%3dint_nhlfns_cons_nat_all,What is the name of the annual festival in Bloomfield that celebrates the neighborhood's Italian-American heritage?,Little Italy Days
https://adclick.g.doubleclick.net/pcs/click?xai=akaojsungov4jd_ifriracw-vqgexm8wbgk3qh3z4rjpden6uzja_2yetxnzgphbqke-s8gmztlc0p76hj2ezr9hbwh-cbljwrfpof_wab1mbcv3slcgygbnaaz6yu4inrlgm2t-f2fdk3vy-a-duqihzenfwhv5kfeowdebl-8skgydh5wqk0tmwxvpbhhv_vrfu_x6u-tagzfhvls9eshyjc1m8sdgk9cywvfmsjgq9jgddxzp4l35yrz7voimqfbv_wmqg-5bpc-ai43bew86wynu9ytpy3rrd5k_pxxcwpqicofjqh6y3bp48u3rrer1pk_-ynybg4qbxb-nfiwwm1mcq59v1bu2pw5yjwaxhcjcbz8ncxscc8muaj44f7uusyw&sai=amfl-yrl7t8vjj3vvunpro3rcr8kigj0chipubz4qcxgc8rglzkfen027zqz8hzfpsrfdztvhqyg0gaewspykss9rcznjzf2ysxek0ickjsdpxwmd4qb7r-rznsqn7vi&sig=cg0arkjszbodax5ahpwceae&fbs_aeid=%5bgw_fbsaeid%5d&urlfix=1&adurl=https://www.massmutual.com/nhl%3futm_source%3dnhl%26utm_medium%3ddisplay%26utm_campaign%3db_all_nhl_grow_eng_dynduo%26utm_content%3dima_ddhpto_click_nhl%26utm_term%3dint_nhlfns_cons_nat_all,What is the name of the university that is known for its robotics and artificial intelligence programs?,Carnegie Mellon University
