url,question,reference_answer
https://trustarts.org/pct_home/support/planned-giving/for-professional-advisors,Who is Pittsburgh named after?,William Pitt
https://trustarts.org/pct_home/support/planned-giving/for-professional-advisors,What year was Carnegie Mellon University founded?,1900
https://trustarts.org/pct_home/support/planned-giving/for-professional-advisors,Which bridge in Pittsburgh is famously yellow?,Roberto Clemente Bridge
https://trustarts.org/pct_home/support/planned-giving/for-professional-advisors,Which famous AI professor at CMU co-founded Duolingo?,Luis von Ahn
https://www.visitpittsburgh.com/blog/guide-to-football-in-pittsburgh,What is the nickname of Pittsburgh?,The City of Champions
https://www.visitpittsburgh.com/blog/guide-to-football-in-pittsburgh,What is the name of the museum dedicated to Roberto Clemente?,The Clemente Museum
https://www.visitpittsburgh.com/blog/guide-to-football-in-pittsburgh,Where is the Steelers Hall of Honor Museum located?,Near the B Suite gate at Acrisure Stadium
https://www.visitpittsburgh.com/blog/guide-to-football-in-pittsburgh,What is the name of the brewery that offers a behind-the-scenes tour?,Pittsburgh Brewing Co.
https://www.visitpittsburgh.com/blog/guide-to-football-in-pittsburgh,What is the name of the Pittsburgh sports store filled with Steelers merchandise?,Yinzers in the Burgh
https://pjcbignosh.com,What is the name of the festival presented by the Pittsburgh Jewish Chronicle?,Big Nosh Jewish Food Festival
https://pjcbignosh.com,In which year was the Big Nosh Jewish Food Festival first held?,2024
https://pjcbignosh.com,Where is the Congregation Beth Shalom located?,"5915 Beacon Street, Pittsburgh, PA 15217"
https://pjcbignosh.com,What type of food is served at the Big Nosh Jewish Food Festival?,Kosher
https://pjcbignosh.com,Who is the hotel partner of Big Nosh?,The Maverick Hotel by Kasa
https://carnegiemuseums.org/plan-a-visit/visitor-conduct-policy,What is the name of the policy that governs visitor conduct at the Carnegie Museums of Pittsburgh?,Visitor Conduct Policy
https://carnegiemuseums.org/plan-a-visit/visitor-conduct-policy,"What is the name of the institution that includes the Carnegie Museum of Art, Carnegie Museum of Natural History, The Andy Warhol Museum, and Carnegie Science Center?",Carnegie Museums of Pittsburgh
https://carnegiemuseums.org/plan-a-visit/visitor-conduct-policy,What is the name of the magazine published by Carnegie Museums of Pittsburgh?,Carnegie magazine
https://carnegiemuseums.org/plan-a-visit/visitor-conduct-policy,In what year was Carnegie Museum of Art founded?,Not available in the text
https://carnegiemuseums.org/plan-a-visit/visitor-conduct-policy,What is the name of the event space at the Carnegie Museums of Pittsburgh?,Great Event Spaces
https://www.steelers.com/legal/accessibility,What is the name of the Pittsburgh Steelers' website accessibility statement?,Steelers Website Accessibility Statement
https://www.steelers.com/legal/accessibility,In what year was the Pittsburgh Steelers' website accessibility statement updated?,"October 6, 2021"
https://www.steelers.com/legal/accessibility,What is the name of the stadium of the Pittsburgh Steelers?,Acrisure Stadium
https://www.steelers.com/legal/accessibility,What is the name of the accessibility consultant that the National Football League has engaged?,National Center for Accessible Media at WGBH (NCAM)
https://www.steelers.com/legal/accessibility,What are the current supported browsers for the Pittsburgh Steelers' website?,"Chrome, Edge (v80 and later), Firefox and Safari"
https://www.cmu.edu/visit/welcome-center.html,What is the address of Carnegie Mellon University?,5000 Forbes Avenue
https://www.cmu.edu/visit/welcome-center.html,What is the name of the Roberto Clemente Bridge in Pittsburgh?,Roberto Clemente Bridge
https://www.cmu.edu/visit/welcome-center.html,What is the name of the founder of Carnegie Mellon University?,Andrew Carnegie and Mellon family
https://www.cmu.edu/visit/welcome-center.html,What is the year Carnegie Mellon University was founded?,1900
https://www.cmu.edu/visit/welcome-center.html,What is the name of the city where Carnegie Mellon University is located?,Pittsburgh
https://bananasplitfest.com/events/princess-pageant,What is the name of the city in Pennsylvania where Carnegie Mellon University is located?,Pittsburgh
https://bananasplitfest.com/events/princess-pageant,"What is the name of the annual festival in Latrobe, PA that celebrates the banana split?",Great American Banana Split Celebration
https://bananasplitfest.com/events/princess-pageant,What is the name of the university that offers a full ride scholarship to Challenge Camp at Saint Vincent College?,Carnegie Mellon University
https://bananasplitfest.com/events/princess-pageant,What is the name of the pageant that selects a young lady to be crowned the Banana Split Princess?,Banana Split Princess Pageant
https://bananasplitfest.com/events/princess-pageant,What is the name of the city where the Banana Split Princess Pageant takes place?,Latrobe
https://pittsburgh.events/shows,What is the name of the famous museum located in the North Shore neighborhood of Pittsburgh?,Andy Warhol Museum
https://pittsburgh.events/shows,Which stadium is located in the North Shore neighborhood of Pittsburgh?,Heinz Field football stadium
https://pittsburgh.events/shows,What is the name of the botanical gardens located in Pittsburgh?,Phipps Conservatory and Botanical Gardens
https://pittsburgh.events/shows,What is the name of the Carnegie Mellon University's music hall?,Carnegie Music Hall
https://carnegiemuseums.org/carnegie-magazine/bringing-ancient-egypt-alive,"What is the name of the 4,000-year-old funerary boat that Mostafa Sherif will be conserving at the Carnegie Museum of Natural History?",The Dahshur boat
https://carnegiemuseums.org/carnegie-magazine/bringing-ancient-egypt-alive,Where is Mostafa Sherif originally from?,Egypt
