url,question,reference_answer
https://www.baltimoresun.com/opinion/op-ed/bs-ed-foster-pittsburgh-20130221-column.html,Who is Pittsburgh named after?,William Pitt
https://www.baltimoresun.com/opinion/op-ed/bs-ed-foster-pittsburgh-20130221-column.html,What year was Carnegie Mellon University founded?,1900
https://www.baltimoresun.com/opinion/op-ed/bs-ed-foster-pittsburgh-20130221-column.html,Which bridge in Pittsburgh is famously yellow?,Roberto Clemente Bridge
https://www.baltimoresun.com/opinion/op-ed/bs-ed-foster-pittsburgh-20130221-column.html,Which famous AI professor at CMU co-founded Duolingo?,Luis von Ahn
https://www.baltimoresun.com/opinion/op-ed/bs-ed-foster-pittsburgh-20130221-column.html,Who hosts the Burgh Bus comedy tour in Pittsburgh?,Matt Light.
https://www.baltimoresun.com/opinion/op-ed/bs-ed-foster-pittsburgh-20130221-column.html,What is the name of the Pittsburgh-based university that is home to the famous robotics program?,Carnegie Mellon University
https://www.baltimoresun.com/opinion/op-ed/bs-ed-foster-pittsburgh-20130221-column.html,Which Pittsburgh bridge is famously yellow?,Roberto Clemente Bridge
https://www.baltimoresun.com/opinion/op-ed/bs-ed-foster-pittsburgh-20130221-column.html,What is the name of the Pittsburgh neighborhood that is home to the famous Randyland art museum?,Pittsburgh's North Side
https://www.baltimoresun.com/opinion/op-ed/bs-ed-foster-pittsburgh-20130221-column.html,Who is the famous CMU professor who co-founded Duolingo?,Luis von Ahn
https://www.baltimoresun.com/opinion/op-ed/bs-ed-foster-pittsburgh-20130221-column.html,What is the name of the Pittsburgh-based newspaper that published an article about what Pittsburgh can teach Baltimore?,Baltimore Sun
https://pittsburghrestaurantweek.com/restaurants/winter-2021-restaurants,Which university is known for its robotics and artificial intelligence programs?,Carnegie Mellon University
https://pittsburghrestaurantweek.com/restaurants/winter-2021-restaurants,What is the name of the annual Pittsburgh event where local restaurants offer special menus at a fixed price?,Pittsburgh Restaurant Week
https://pittsburghrestaurantweek.com/restaurants/winter-2021-restaurants,What is the name of the Pittsburgh restaurant that offers a PRW Exclusive Dish?,St. Clair Social
https://pittsburghrestaurantweek.com/restaurants/winter-2021-restaurants,Which Pittsburgh neighborhood is home to the famous Mount Washington view?,Mount Washington
https://pittsburghrestaurantweek.com/restaurants/winter-2021-restaurants,What is the name of the Pittsburgh restaurant that offers a specialty all-day brunch?,Friendship Square Cafe
https://pittsburghopera.org/current-media-releases/pittsburgh-opera-to-offer-free-childcare-during-la-traviata-matinee,What is the name of the new production of Madama Butterfly at Pittsburgh Opera?,"In this groundbreaking new production created by an all Japanese and Japanese American creative team, Madama Butterfly’s story is transported to a fantastical realm where reality and dreams intersect."
https://pittsburghopera.org/current-media-releases/pittsburgh-opera-to-offer-free-childcare-during-la-traviata-matinee,What is the name of the center where Pittsburgh Opera is hosting the La Traviata matinee?,Benedum Center
https://pittsburghopera.org/current-media-releases/pittsburgh-opera-to-offer-free-childcare-during-la-traviata-matinee,How old must a child be to attend an opera performance and sit in the audience?,six
https://pittsburghopera.org/current-media-releases/pittsburgh-opera-to-offer-free-childcare-during-la-traviata-matinee,What is the name of the foundation that is generously funding Pittsburgh Opera’s Rideshare program and the childcare program?,Richard King Mellon Foundation
https://pittsburghopera.org/current-media-releases/pittsburgh-opera-to-offer-free-childcare-during-la-traviata-matinee,What is the name of the service provider that is working with Pittsburgh Opera to bring the childcare program to life?,Flexable
https://web.archive.org/web/20230811122527/https://triblive.com/local/regional/lawrence-county-added-to-pittsburgh-metro-area,What is the name of the statistical area that includes Pittsburgh after the addition of Lawrence County?,Pittsburgh metro area
https://web.archive.org/web/20230811122527/https://triblive.com/local/regional/lawrence-county-added-to-pittsburgh-metro-area,What is the population of the Pittsburgh metro area after the addition of Lawrence County?,"2,434,021"
https://web.archive.org/web/20230811122527/https://triblive.com/local/regional/lawrence-county-added-to-pittsburgh-metro-area,What is the name of the county commissioner who stated that the addition of Lawrence County to the Pittsburgh metro area makes sense?,Dan Vogler
https://web.archive.org/web/20230811122527/https://triblive.com/local/regional/lawrence-county-added-to-pittsburgh-metro-area,"What is the name of the city that is the largest in Mercer County, which was designated as part of the Hermitage micropolitan area?",Hermitage
https://web.archive.org/web/20230811122527/https://triblive.com/local/regional/lawrence-county-added-to-pittsburgh-metro-area,What is the name of the highway that goes through Lawrence County and connects it to Pittsburgh?,I-376
https://trustarts.org/blog/day-in-the-life-of-cinderellas-erica-messonnier,What is the name of the university attended by Erica Messonnier?,Point Park University
https://trustarts.org/blog/day-in-the-life-of-cinderellas-erica-messonnier,What is the name of the production that Erica Messonnier is a part of?,Rodgers + Hammerstein's Cinderella
https://trustarts.org/blog/day-in-the-life-of-cinderellas-erica-messonnier,What is the name of the studio at Point Park University that Erica visited?,The Center for Media Innovation
https://trustarts.org/blog/day-in-the-life-of-cinderellas-erica-messonnier,What is the name of the gallery that Erica visited in the Cultural District?,Wood Street Galleries
https://trustarts.org/blog/day-in-the-life-of-cinderellas-erica-messonnier,Who is the designer of the costumes for Rodgers + Hammerstein's Cinderella?,William Ivey Long
https://trustarts.org/pct_home/events/groups/pittsburgh-public-theater,What is the name of the theater where Pittsburgh Public Theater's 'Who's Afraid of Virginia Woolf?' will be held?,O'Reilly Theater
https://trustarts.org/pct_home/events/groups/pittsburgh-public-theater,What is the name of the organization that fulfills Pittsburgh Public Theater's group orders?,Pittsburgh Cultural Trust
https://trustarts.org/pct_home/events/groups/pittsburgh-public-theater,What is the name of the group sales rate applied when purchasing tickets from the group sales page?,Group Sales rate
https://trustarts.org/pct_home/events/groups/pittsburgh-public-theater,What is the name of the event that is a celebration of the arts and culture in Pittsburgh?,Dollar Bank Three Rivers Arts Festival
https://trustarts.org/pct_home/events/groups/pittsburgh-public-theater,What is the name of the university that has a special ticket offer for its students?,Carnegie Mellon University
https://www.mlb.com/pirates/video/run-it-back-with-andrew-mccutchen?t=run-it-back,What is the name of the Pittsburgh Pirates' home stadium?,PNC Park
https://www.mlb.com/pirates/video/run-it-back-with-andrew-mccutchen?t=run-it-back,In which year did Andrew McCutchen return to Pittsburgh?,2023
https://www.mlb.com/pirates/video/run-it-back-with-andrew-mccutchen?t=run-it-back,What is the name of the podcast where Andrew McCutchen was a guest?,Run It Back
https://www.mlb.com/pirates/video/run-it-back-with-andrew-mccutchen?t=run-it-back,What is the name of the company that operates the website mentioned in the document?,"MLB Advanced Media, LP"
https://www.mlb.com/pirates/video/run-it-back-with-andrew-mccutchen?t=run-it-back,What is the name of the episode of 'Run It Back' featuring Andrew McCutchen?,Episode 2: Andrew McCutchen
https://pittsburghrestaurantweek.com/restaurants/winter-2012-restaurants,What is the name of the organization that hosts Pittsburgh Restaurant Week?,Pittsburgh TasteBuds Ltd
https://pittsburghrestaurantweek.com/restaurants/winter-2012-restaurants,Which Pittsburgh restaurant features dining specials during Pittsburgh Restaurant Week?,Bocktown
https://pittsburghrestaurantweek.com/restaurants/winter-2012-restaurants,Who is the founder of Carnegie Mellon University?,Andrew Carnegie
https://pittsburghrestaurantweek.com/restaurants/winter-2012-restaurants,What is the name of the Pittsburgh neighborhood where Carnegie Mellon University is located?,Oakland
https://pittsburghrestaurantweek.com/restaurants/winter-2012-restaurants,What is the name of the famous restaurant in Pittsburgh that offers a special menu during Pittsburgh Restaurant Week?,The Porch at Schenley
https://trustarts.org/pct_home/visual-arts/visit,What is the name of the cultural district in Pittsburgh?,The Cultural District
https://trustarts.org/pct_home/visual-arts/visit,What is the name of the bike share program in Pittsburgh?,POGOH
https://trustarts.org/pct_home/visual-arts/visit,How many days does the Dollar Bank Three Rivers Arts Festival last?,Ten days
https://trustarts.org/pct_home/visual-arts/visit,What is the name of the project that helps find parking in Downtown Pittsburgh?,ParkPGH
https://trustarts.org/pct_home/visual-arts/visit,What is the name of the light-rail service in Pittsburgh?,T
https://downtownpittsburgh.com/events?n=3&d=2&y=2025,What is the name of the official calendar of events in Downtown Pittsburgh?,Downtown Events Calendar
https://downtownpittsburgh.com/events?n=3&d=2&y=2025,Which famous animation film is featured in the Oscar Nominated Shorts: Animation event in Pittsburgh?,Toy Story
https://downtownpittsburgh.com/events?n=3&d=2&y=2025,What is the name of the largest winter wine festival in Pittsburgh?,Pittsburgh Winter Wine Fest
https://downtownpittsburgh.com/events?n=3&d=2&y=2025,What is the name of the organization that hosts the World Oddities Expo 2025 in Pittsburgh?,World Oddities Expo
https://www.pghcitypaper.com/pittsburgh/norside-organ-trio-live-from-the-parking-pad/Event?oid=27602787,What is the name of the music venue where Norside Organ Trio performed?,The Parking Pad
https://www.pghcitypaper.com/pittsburgh/norside-organ-trio-live-from-the-parking-pad/Event?oid=27602787,In which city is Carnegie Mellon University located?,Pittsburgh
https://www.pghcitypaper.com/pittsburgh/norside-organ-trio-live-from-the-parking-pad/Event?oid=27602787,What is the name of the street where the Parking Pad is located?,Hillsdale Ave
